type,dust,wr,games,duration,card_0,card_1,card_2,card_3,card_4,card_5,card_6,card_7,card_8,card_9,card_10,card_11,card_12,card_13,card_14,card_15,card_16,card_17,card_18,card_19,card_20,card_21,card_22,card_23,card_24,card_25,card_26,card_27,card_28,card_29,wins,hero
Highlander Hunter,17920,0.575,3000,6.6,Blazing Battlemage,Dwarven Sharpshooter,Springpaw,Tracking,Faerie Dragon,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Desert Spear,Diving Gryphon,Kill Command,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Dragonmaw Poacher,Houndmaster Shaw,Boompistol Bully,Faceless Corruptor,Leeroy Jenkins,Rotnest Drake,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,1724.9999999999998,Hunter
Highlander Hunter,16760,0.575,7100,6.9,Crystallizer,Dwarven Sharpshooter,Springpaw,Tracking,Corrosive Breath,Faerie Dragon,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Kill Command,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Dragonmaw Poacher,Faceless Corruptor,Leeroy Jenkins,Rotnest Drake,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,4082.4999999999995,Hunter
Embiggen Druid,6620,0.575,350000,6.8,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,SN1P-SN4P,Witching Hour,Evasive Feywing,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,,201249.99999999997,Druid
Face Hunter,1880,0.575,2900,5.9,Arcane Shot,Dwarven Sharpshooter,Leper Gnome,Rapid Fire,Timber Wolf,Toxic Reinforcements,Tracking,Explosive Trap,Freezing Trap,Phase Stalker,Animal Companion,Eaglehorn Bow,Kill Command,Unleash the Hounds,Lifedrinker,,,,,,,,,,,,,,,,1667.4999999999998,Hunter
Quest Resurrect Priest,11960,0.575,74000,10.3,Forbidden Words,Activate the Obelisk,Penance,Breath of the Infinite,Shadow Word: Death,Archmage Vargoth,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,,,42550.0,Priest
Token Druid,4800,0.574,2200,6.6,Acornbearer,Treenforcements,Dendrologist,Shrubadier,Blessing of the Ancients,Landscaping,Savage Roar,Garden Gnome,Soul of the Forest,Swipe,Aeroponics,Anubisath Defender,Force of Nature,Goru the Mightree,The Forest's Aid,Mulchmuncher,,,,,,,,,,,,,,,1262.8,Druid
Face Hunter,3980,0.574,2000,5.9,Blazing Battlemage,Dwarven Sharpshooter,Leper Gnome,Timber Wolf,Toxic Reinforcements,Tracking,Explosive Trap,Freezing Trap,Kobold Sandtrooper,Phase Stalker,Questing Explorer,Snake Trap,Animal Companion,Eaglehorn Bow,Kill Command,Unleash the Hounds,Lifedrinker,Leeroy Jenkins,,,,,,,,,,,,,1148.0,Hunter
Token Druid,4840,0.574,2200,6.4,Acornbearer,Treenforcements,Dendrologist,Power of the Wild,Shrubadier,Blessing of the Ancients,Landscaping,Savage Roar,Garden Gnome,Soul of the Forest,Wispering Woods,Aeroponics,Anubisath Defender,Force of Nature,Goru the Mightree,The Forest's Aid,Mulchmuncher,,,,,,,,,,,,,,1262.8,Druid
Highlander Hunter,16720,0.574,8200,7.0,Dwarven Sharpshooter,Springpaw,Tracking,Faerie Dragon,Fresh Scent,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Kill Command,Nightmare Amalgam,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Houndmaster,Lifedrinker,Faceless Corruptor,Leeroy Jenkins,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,4706.799999999999,Hunter
Highlander Hunter,16440,0.574,40000,7.1,Blazing Battlemage,Dwarven Sharpshooter,Springpaw,Tracking,Explosive Trap,Faerie Dragon,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Kill Command,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Lifedrinker,Big Ol' Whelp,Faceless Corruptor,Leeroy Jenkins,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,22960.0,Hunter
Quest Resurrect Priest,12120,0.573,12000,10.0,Forbidden Words,Activate the Obelisk,Penance,Bad Luck Albatross,Breath of the Infinite,Archmage Vargoth,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,,,6875.999999999999,Priest
Token Druid,4480,0.573,2400,6.4,Acornbearer,Treenforcements,Dendrologist,Power of the Wild,Shrubadier,Blessing of the Ancients,Landscaping,Savage Roar,Garden Gnome,Soul of the Forest,Aeroponics,Anubisath Defender,Force of Nature,Goru the Mightree,The Forest's Aid,Mulchmuncher,,,,,,,,,,,,,,,1375.1999999999998,Druid
Embiggen Druid,8180,0.573,2600,6.7,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,SN1P-SN4P,Witching Hour,Evasive Feywing,Frizz Kindleroost,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,1489.8,Druid
Embiggen Druid,8180,0.573,5300,6.7,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Scalerider,SN1P-SN4P,Bone Wraith,Dragonmaw Poacher,Evasive Feywing,Frizz Kindleroost,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,3036.8999999999996,Druid
Face Hunter,3520,0.573,4100,5.4,Arcane Shot,Dwarven Sharpshooter,Leper Gnome,Rapid Fire,Toxic Reinforcements,Tracking,Explosive Trap,Freezing Trap,Kobold Sandtrooper,Phase Stalker,Animal Companion,Eaglehorn Bow,Kill Command,Unleash the Hounds,Lifedrinker,Leeroy Jenkins,,,,,,,,,,,,,,,2349.2999999999997,Hunter
Face Hunter,2040,0.573,2000,6.2,Arcane Shot,Dwarven Sharpshooter,Rapid Fire,Timber Wolf,Toxic Reinforcements,Tracking,Explosive Trap,Freezing Trap,Misdirection,Phase Stalker,Spellzerker,Animal Companion,Eaglehorn Bow,Kill Command,Unleash the Hounds,Lifedrinker,,,,,,,,,,,,,,,1146.0,Hunter
Mech Paladin,6600,0.573,4100,5.5,Crystology,Glow-Tron,Hot Air Balloon,Mecharoo,Galvanizer,Micro Mummy,Shotbot,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Replicating Menace,Truesilver Champion,Leeroy Jenkins,Wargear,Zilliax,,,,,,,,,,,,,,2349.2999999999997,Paladin
Embiggen Druid,6680,0.5720000000000001,7000,6.9,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,SN1P-SN4P,Witching Hour,Evasive Feywing,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,,4004.0000000000005,Druid
Token Druid,6400,0.5720000000000001,8600,6.3,Acornbearer,Treenforcements,Dendrologist,Power of the Wild,Shrubadier,Blessing of the Ancients,Landscaping,Savage Roar,SN1P-SN4P,Garden Gnome,Soul of the Forest,Aeroponics,Anubisath Defender,Force of Nature,Goru the Mightree,The Forest's Aid,Mulchmuncher,,,,,,,,,,,,,,4919.200000000001,Druid
Embiggen Druid,5020,0.5720000000000001,4800,7.1,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,SN1P-SN4P,Witching Hour,Evasive Feywing,Swipe,Big Ol' Whelp,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Reckless Rocketeer,Winged Guardian,,,,,,,,,,,,,,2745.6000000000004,Druid
Embiggen Druid,8120,0.5720000000000001,130000,6.6,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,SN1P-SN4P,Evasive Feywing,Frizz Kindleroost,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,,74360.00000000001,Druid
Galakrond Rogue,13840,0.5720000000000001,1900,8.9,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Edwin VanCleef,EVIL Miscreant,Seal Fate,SN1P-SN4P,Bone Wraith,Devoted Maniac,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,1086.8000000000002,Rogue
Galakrond Rogue,15440,0.5720000000000001,5500,9.1,Backstab,Bloodsail Flybooter,Pharaoh Cat,Praise Galakrond!,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,SN1P-SN4P,Devoted Maniac,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",Siamat,,,,,,,,,,,3146.0000000000005,Rogue
Face Hunter,5920,0.5720000000000001,1800,5.7,Dwarven Sharpshooter,Timber Wolf,Toxic Reinforcements,Tracking,Explosive Trap,Knife Juggler,Kobold Sandtrooper,Phase Stalker,Snake Trap,Animal Companion,Eaglehorn Bow,Kill Command,Unleash the Hounds,Dragonbane,Lifedrinker,Leeroy Jenkins,,,,,,,,,,,,,,,1029.6000000000001,Hunter
Galakrond Rogue,13960,0.5710000000000001,1500,8.9,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,SN1P-SN4P,Devoted Maniac,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,856.5000000000001,Rogue
Quest Resurrect Priest,11860,0.5710000000000001,2200,10.4,Forbidden Words,Activate the Obelisk,Penance,Breath of the Infinite,Shadow Word: Death,Archmage Vargoth,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,,,1256.2,Priest
Galakrond Rogue,15320,0.5710000000000001,3300,9.2,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,SN1P-SN4P,Devoted Maniac,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",Siamat,,,,,,,,,,,1884.3000000000002,Rogue
Token Druid,2960,0.5710000000000001,1400,6.8,Acornbearer,Mecharoo,Dreamway Guardians,EVIL Cable Rat,Power of the Wild,Wrath,Blessing of the Ancients,Harvest Golem,Microtech Controller,Savage Roar,SN1P-SN4P,Explodinator,Replicating Menace,Soul of the Forest,Swipe,The Forest's Aid,,,,,,,,,,,,,,,799.4000000000001,Druid
Token Druid,6400,0.57,3800,6.5,Acornbearer,Treenforcements,Dendrologist,Power of the Wild,Shrubadier,Blessing of the Ancients,Landscaping,Savage Roar,Garden Gnome,Aeroponics,Anubisath Defender,Force of Nature,Zilliax,Goru the Mightree,The Forest's Aid,Mulchmuncher,,,,,,,,,,,,,,,2166.0,Druid
Embiggen Druid,5120,0.57,3700,6.8,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Bad Luck Albatross,Scalerider,Evasive Feywing,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,,,2109.0,Druid
Embiggen Druid,5120,0.57,2700,6.6,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,Witching Hour,Evasive Feywing,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,,,1538.9999999999998,Druid
Highlander Hunter,16360,0.57,1600,6.7,Blazing Battlemage,Dwarven Sharpshooter,Springpaw,Tracking,Corrosive Breath,Faerie Dragon,Phase Stalker,Snake Trap,Zephrys the Great,Animal Companion,Desert Spear,Diving Gryphon,Kill Command,Nightmare Amalgam,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Dragonmaw Poacher,Boompistol Bully,Faceless Corruptor,Leeroy Jenkins,Rotnest Drake,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,911.9999999999999,Hunter
Face Hunter,1920,0.57,4800,5.7,Arcane Shot,Dwarven Sharpshooter,Leper Gnome,Rapid Fire,Timber Wolf,Toxic Reinforcements,Tracking,Explosive Trap,Freezing Trap,Kobold Sandtrooper,Phase Stalker,Animal Companion,Eaglehorn Bow,Kill Command,Unleash the Hounds,Lifedrinker,,,,,,,,,,,,,,,2735.9999999999995,Hunter
Mech Paladin,7080,0.57,2600,5.6,Crystology,Glow-Tron,Mecharoo,Galvanizer,Micro Mummy,Shotbot,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Replicating Menace,Truesilver Champion,Faceless Corruptor,Leeroy Jenkins,Wargear,Zilliax,,,,,,,,,,,,,,1481.9999999999998,Paladin
Mech Paladin,5600,0.57,14000,6.4,Blessing of Wisdom,Crystology,Glow-Tron,Righteous Cause,Air Raid,Galvanizer,Micro Mummy,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Explodinator,Replicating Menace,Truesilver Champion,Wargear,Zilliax,,,,,,,,,,,,,,,7979.999999999999,Paladin
Face Hunter,3640,0.57,1500,6.0,Arcane Shot,Dwarven Sharpshooter,Rapid Fire,Timber Wolf,Toxic Reinforcements,Tracking,Explosive Trap,Freezing Trap,Misdirection,Phase Stalker,Spellzerker,Animal Companion,Eaglehorn Bow,Kill Command,Unleash the Hounds,Lifedrinker,Leeroy Jenkins,,,,,,,,,,,,,,854.9999999999999,Hunter
Face Hunter,2240,0.57,1700,5.8,Arcane Shot,Blazing Battlemage,Dwarven Sharpshooter,Timber Wolf,Toxic Reinforcements,Tracking,Explosive Trap,Freezing Trap,Kobold Sandtrooper,Phase Stalker,Snake Trap,Animal Companion,Eaglehorn Bow,Kill Command,Unleash the Hounds,Lifedrinker,Reckless Rocketeer,,,,,,,,,,,,,,968.9999999999999,Hunter
Quest Resurrect Priest,13100,0.57,2600,10.9,Forbidden Words,Activate the Obelisk,Injured Tol'vir,Penance,Breath of the Infinite,Madame Lazul,Shadow Word: Death,Archmage Vargoth,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,1481.9999999999998,Priest
Embiggen Druid,8240,0.569,2300,6.1,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Bad Luck Albatross,SN1P-SN4P,Evasive Feywing,Frizz Kindleroost,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,,1308.6999999999998,Druid
Face Hunter,3840,0.569,88000,5.5,Arcane Shot,Blazing Battlemage,Dwarven Sharpshooter,Timber Wolf,Toxic Reinforcements,Tracking,Explosive Trap,Freezing Trap,Kobold Sandtrooper,Phase Stalker,Snake Trap,Animal Companion,Eaglehorn Bow,Kill Command,Unleash the Hounds,Lifedrinker,Leeroy Jenkins,,,,,,,,,,,,,,50071.99999999999,Hunter
Embiggen Druid,8240,0.569,1000,7.0,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Scalerider,SN1P-SN4P,Witching Hour,Archmage Vargoth,Evasive Feywing,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,,569.0,Druid
Highlander Mage,21180,0.569,1300,8.8,Arcane Breath,Ray of Frost,Book of Specters,Doomsayer,Firetree Witchdoctor,Zephrys the Great,Arcane Intellect,Frost Nova,SN1P-SN4P,Stargazer Luna,Arcane Keysmith,Bone Wraith,Conjurer's Calling,Twilight Drake,"Malygos, Aspect of Magic",Zilliax,Blizzard,Dragoncaster,Khartut Defender,Reno the Relicologist,Flamestrike,Luna's Pocket Galaxy,Siamat,Power of Creation,Tortollan Pilgrim,Alexstrasza,Dragonqueen Alexstrasza,Kalecgos,Puzzle Box of Yogg-Saron,Mountain Giant,739.6999999999999,Mage
Embiggen Druid,6920,0.569,3100,6.8,Embiggen,Strength in Numbers,Breath of Dreams,Crystal Merchant,Faerie Dragon,Injured Tol'vir,Scalerider,SN1P-SN4P,Evasive Feywing,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,,1763.8999999999999,Druid
Embiggen Druid,5120,0.569,10000,6.7,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,Witching Hour,Dragonmaw Poacher,Evasive Feywing,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,,5689.999999999999,Druid
Embiggen Druid,8180,0.569,1300,6.3,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,SN1P-SN4P,Dragonmaw Poacher,Evasive Feywing,Frizz Kindleroost,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,739.6999999999999,Druid
Mech Paladin,6740,0.569,3100,5.9,Blessing of Wisdom,Crystology,Glow-Tron,Hot Air Balloon,Mecharoo,Galvanizer,Micro Mummy,Shieldbreaker,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Replicating Menace,Truesilver Champion,Leeroy Jenkins,Wargear,Zilliax,,,,,,,,,,,,,1763.8999999999999,Paladin
Quest Druid,9000,0.568,1700,8.4,Innervate,Untapped Potential,Worthy Expedition,Crystal Merchant,Power of the Wild,Rising Winds,Wrath,Ferocious Howl,Wardruid Loti,Flobbidinous Floop,Swipe,Anubisath Defender,Oasis Surger,Starfall,Hidden Oasis,Nourish,Cenarius,,,,,,,,,,,,,,965.5999999999999,Druid
Galakrond Rogue,10760,0.568,3000,8.7,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,Devoted Maniac,Lifedrinker,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,1703.9999999999998,Rogue
Quest Resurrect Priest,11560,0.568,1300,10.2,Forbidden Words,Activate the Obelisk,Penance,Breath of the Infinite,Shadow Word: Death,Archmage Vargoth,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,,,738.4,Priest
Embiggen Druid,6560,0.568,2200,6.8,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,SN1P-SN4P,Evasive Feywing,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Gloop Sprayer,Winged Guardian,,,,,,,,,,,,,,1249.6,Druid
Face Hunter,2020,0.568,1200,5.7,Arcane Shot,Dwarven Sharpshooter,Leper Gnome,Rapid Fire,Toxic Reinforcements,Tracking,Explosive Trap,Freezing Trap,Kobold Sandtrooper,Misdirection,Phase Stalker,Animal Companion,Eaglehorn Bow,Kill Command,Unleash the Hounds,Lifedrinker,,,,,,,,,,,,,,,681.5999999999999,Hunter
Face Hunter,3840,0.568,9300,5.4,Arcane Shot,Blazing Battlemage,Dwarven Sharpshooter,Leper Gnome,Timber Wolf,Toxic Reinforcements,Tracking,Explosive Trap,Kobold Sandtrooper,Phase Stalker,Snake Trap,Animal Companion,Eaglehorn Bow,Kill Command,Unleash the Hounds,Lifedrinker,Leeroy Jenkins,,,,,,,,,,,,,,5282.4,Hunter
Galakrond Rogue,15480,0.568,1300,9.0,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,SN1P-SN4P,Devoted Maniac,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",Siamat,,,,,,,,,,738.4,Rogue
Embiggen Druid,6620,0.568,34000,6.8,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,Witching Hour,Evasive Feywing,Frizz Kindleroost,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,,19312.0,Druid
Highlander Hunter,16820,0.568,2000,6.7,Dwarven Sharpshooter,Shimmerfly,Springpaw,Tracking,Corrosive Breath,Faerie Dragon,Fresh Scent,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Desert Spear,Diving Gryphon,Kill Command,Nightmare Amalgam,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Lifedrinker,Faceless Corruptor,Leeroy Jenkins,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,1136.0,Hunter
Face Hunter,1960,0.568,2600,5.2,Arcane Shot,Blazing Battlemage,Dwarven Sharpshooter,Leper Gnome,Rapid Fire,Toxic Reinforcements,Tracking,Explosive Trap,Kobold Sandtrooper,Phase Stalker,Animal Companion,Eaglehorn Bow,Kill Command,Unleash the Hounds,Lifedrinker,,,,,,,,,,,,,,,,1476.8,Hunter
Galakrond Rogue,10760,0.568,1600,8.8,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,Devoted Maniac,Lifedrinker,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,908.8,Rogue
Highlander Hunter,17020,0.5670000000000001,1000,7.0,Crystallizer,Dwarven Sharpshooter,Springpaw,Tracking,Corrosive Breath,Faerie Dragon,Fresh Scent,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Desert Spear,Diving Gryphon,Kill Command,Nightmare Amalgam,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Houndmaster,Faceless Corruptor,Leeroy Jenkins,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,567.0000000000001,Hunter
Embiggen Druid,8040,0.5670000000000001,6300,7.3,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Rising Winds,Scalerider,SN1P-SN4P,Evasive Feywing,Frizz Kindleroost,Swipe,Big Ol' Whelp,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,"Ysera, Unleashed",,,,,,,,,,,,,,3572.1000000000004,Druid
Face Hunter,5920,0.5670000000000001,13000,5.8,Dwarven Sharpshooter,Timber Wolf,Toxic Reinforcements,Tracking,Explosive Trap,Knife Juggler,Kobold Sandtrooper,Phase Stalker,Snake Trap,Animal Companion,Eaglehorn Bow,Ironbeak Owl,Kill Command,Unleash the Hounds,Dragonbane,Lifedrinker,Leeroy Jenkins,,,,,,,,,,,,,,7371.000000000001,Hunter
Galakrond Rogue,15320,0.5670000000000001,7000,8.8,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,SN1P-SN4P,Devoted Maniac,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",Siamat,,,,,,,,,,,3969.0000000000005,Rogue
Face Hunter,3540,0.5670000000000001,2100,5.6,Arcane Shot,Blazing Battlemage,Dwarven Sharpshooter,Timber Wolf,Toxic Reinforcements,Tracking,Explosive Trap,Freezing Trap,Kobold Sandtrooper,Misdirection,Phase Stalker,Animal Companion,Eaglehorn Bow,Kill Command,Unleash the Hounds,Lifedrinker,Leeroy Jenkins,,,,,,,,,,,,,,1190.7,Hunter
Embiggen Druid,9780,0.5670000000000001,1200,7.1,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,SN1P-SN4P,Witching Hour,Archmage Vargoth,Evasive Feywing,Frizz Kindleroost,Swipe,Big Ol' Whelp,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,"Ysera, Unleashed",,,,,,,,,,,,680.4000000000001,Druid
Face Hunter,5160,0.5670000000000001,1400,5.7,Dwarven Sharpshooter,Toxic Reinforcements,Tracking,Corrosive Breath,Explosive Trap,Faerie Dragon,Freezing Trap,Phase Stalker,Eaglehorn Bow,Kill Command,Nightmare Amalgam,Primordial Explorer,Stormhammer,Unleash the Hounds,Lifedrinker,Leeroy Jenkins,,,,,,,,,,,,,,,793.8000000000001,Hunter
Embiggen Druid,6820,0.5670000000000001,3200,7.6,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,SN1P-SN4P,Witching Hour,Evasive Feywing,Frizz Kindleroost,Big Ol' Whelp,Oasis Surger,Witchwood Grizzly,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,,1814.4,Druid
Token Druid,5620,0.5670000000000001,1700,7.2,Embiggen,Acornbearer,Treenforcements,Dendrologist,Hench-Clan Hogsteed,Shrubadier,Landscaping,Savage Roar,Garden Gnome,Aeroponics,Anubisath Defender,Faceless Corruptor,Force of Nature,Goru the Mightree,The Forest's Aid,Mulchmuncher,,,,,,,,,,,,,,,963.9000000000001,Druid
